,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
829,Accident,1982-04-13,"CROSBY, ND",United States,CROSBY MUNICIPAL,Fatal,Substantial,Mooney,M20F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,2.0,Mooney M20F
837,Accident,1982-04-14,"WILLISTON, ND",United States,WILLISTON SLOWLIN INTER'L,Fatal,Substantial,Cessna,170A,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,2.0,VMC,Landing,3.0,Cessna 170A
840,Accident,1982-04-15,"RUIDOSO MUNI, NM",United States,RUIDOSO MUNICIPAL,Fatal,Destroyed,Piper,PA-32R-300,No,1.0,Reciprocating,Business,3.0,1.0,0.0,0.0,VMC,Takeoff,4.0,Piper PA-32R-300
848,Accident,1982-04-15,"20MN OF JACKSON, WY",United States,Unknown,Fatal,Substantial,Cessna,182A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,IMC,Cruise,1.0,Cessna 182A
850,Accident,1982-04-15,"CLEMSON, SC",United States,CLEMSON-OCONEE COUNTY,Fatal,Substantial,Piper,PA-31,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,7.0,VMC,Taxi,7.0,Piper PA-31
855,Accident,1982-04-16,"BIRD ISLAND, MN",United States,Unknown,Fatal,Destroyed,Mooney,M20J,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Cruise,3.0,Mooney M20J
872,Accident,1982-04-17,"WEST UNION, IA",United States,GEORGE L. SCOTT MUNICIPAL,Fatal,Substantial,Beech,B-19,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,2.0,VMC,Approach,2.0,Beech B-19
876,Accident,1982-04-17,"KIRBYVILLE, TX",United States,KIRBYVILLE,Fatal,Substantial,Maule,M-5-210C,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,2.0,Maule M-5-210C
880,Accident,1982-04-17,"ESPANOLA, WA",United States,AG STRIP,Fatal,Substantial,Weatherly,201C,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Weatherly 201C
885,Accident,1982-04-18,"SAN ANTONIO, TX",United States,SAN ANTONIO INTERNATIONAL,Fatal,Destroyed,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Takeoff,3.0,Piper PA-31-350
909,Accident,1982-04-20,"9 SW SANTA BARB, CA",United States,Unknown,Fatal,Destroyed,Cessna,150K,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Climb,1.0,Cessna 150K
916,Accident,1982-04-21,"CLIMAX SPRINGS, MO",United States,Unknown,Fatal,Destroyed,Beech,B95,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0,Beech B95
917,Accident,1982-04-21,"HEARST, CA",United States,Unknown,Fatal,Destroyed,Beech,A36TC,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,Beech A36TC
938,Accident,1982-04-23,"LEXINGTON, GA",United States,MAKESHIFT STRIP,Fatal,Destroyed,Cessna,210,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,2.0,Cessna 210
945,Accident,1982-04-23,"ENDERLIN, ND",United States,SKY HAVEN,Fatal,Substantial,Cessna,182P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Cessna 182P
966,Accident,1982-04-25,"ATLANTA, GA",United States,DEKALB-PEACHTREE,Fatal,Destroyed,Cessna,421C,No,2.0,Reciprocating,Business,0.0,2.0,1.0,0.0,IMC,Landing,3.0,Cessna 421C
978,Accident,1982-04-25,"LOUISVILLE, KY",United States,Unknown,Fatal,Substantial,Piper,PA-23,No,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,1.0,Piper PA-23
