,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
65626,Accident,2008-11-12,"Los Angeles, CA",United States,Los Angeles International,Non-Fatal,Substantial,Cessna,680,No,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 680
65663,Accident,2008-11-20,"Bloomington, IN",United States,Monroe County,Non-Fatal,Substantial,Beech,E35,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Beech E35
65670,Accident,2008-11-23,"God's Lake Narrows, Canada",Canada,God's Lake Narrows Airport,Non-Fatal,Destroyed,Beech,A100,No,2.0,Turbo Prop,Other Work Use,0.0,5.0,0.0,0.0,VMC,Unknown,5.0,Beech A100
65727,Accident,2008-12-14,"Rocksprings, TX",United States,Unknown,Fatal,Substantial,Beech,C90,No,2.0,Turbo Prop,Business,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Beech C90
65738,Accident,2008-12-17,"Sheridan, WY",United States,Sheridan County Airport,Non-Fatal,Substantial,Cessna,210,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 210
65763,Accident,2008-12-23,"Lewistown, MO",United States,Sparpe Farms Airport,Non-Fatal,Substantial,Beechcraft,390,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Beechcraft 390
65766,Accident,2008-12-23,"Clovis, NM",United States,Clovis Municipal Airport,Non-Fatal,Substantial,Socata,TBM 700,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Socata TBM 700
65777,Accident,2008-12-27,"Fort Myers, FL",United States,Southwest Florida Internationa,Non-Fatal,Substantial,Beech,E18S,No,2.0,Reciprocating,Positioning,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,Beech E18S
65847,Accident,2009-01-14,"Crane Island, San Juan Is., WA",United States,"Crane Island, San Juan Island",Non-Fatal,Substantial,Cessna,U206E,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna U206E
65875,Accident,2009-01-23,"Flagstaff, AZ",United States,Flagstaff Pulliam Airport,Fatal,Substantial,Cessna,205,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Unknown,2.0,Cessna 205
65979,Accident,2009-02-23,"Pueblo, CO",United States,Pueblo Memorial,Non-Fatal,Substantial,Piper,PA-31T,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-31T
66090,Accident,2009-03-19,"El Dorado, KS",United States,Cessna Aircraft Airport,Non-Fatal,Substantial,Cessna Aircraft Co,E162,No,1.0,Reciprocating,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna Aircraft Co E162
66131,Accident,2009-03-29,"Salt Lake City, UT",United States,Salt Lake City International,Non-Fatal,Substantial,Cessna,550,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 550
66284,Accident,2009-04-28,"Mayfield Village, OH",United States,Cuyahoga County,Fatal,Destroyed,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Unknown,2.0,Cirrus Design Corp SR22
66287,Accident,2009-04-29,"Patterson, LA",United States,Unknown,Non-Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Executive/corporate,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Cessna A185F
66289,Accident,2009-04-29,"Georgetown, SC",United States,Georgetown County Airport,Non-Fatal,Substantial,Piper,PA-12,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-12
66321,Accident,2009-05-07,"Veracruz, Mexico",Mexico,General Heriberto Jara Corona,Fatal,Destroyed,Cessna,340,No,2.0,Reciprocating,Business,3.0,0.0,1.0,0.0,VMC,Unknown,4.0,Cessna 340
66325,Accident,2009-05-08,"Alpine, TX",United States,Alpine-Casparis Municipal Apt,Non-Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Positioning,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,Cessna 421B
66452,Accident,2009-05-30,"Houston, TX",United States,Unknown,Non-Fatal,Substantial,Cessna,177,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 177
66483,Accident,2009-06-05,"Sellersburg, IN",United States,Clark Regional,Non-Fatal,Substantial,Cessna,550,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Cessna 550
66563,Accident,2009-06-15,"South Haven, MI",United States,South Haven Area Regional Airp,Non-Fatal,Substantial,Cessna,A188B,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna A188B
66568,Accident,2009-06-17,"Crooked Creek, AK",United States,Crooked Creek Airport,Non-Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Other Work Use,0.0,1.0,0.0,2.0,VMC,Unknown,3.0,Cessna 207
66656,Accident,2009-06-29,"Bastrop, TX",United States,None,Non-Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cirrus Design Corp SR22
66665,Accident,2009-07-01,"Santa Teresa, NM",United States,Dona Ana County Airport,Non-Fatal,Substantial,Cessna,T210L,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna T210L
66680,Accident,2009-07-03,"Albuquerque, NM",United States,Albuquerque International,Non-Fatal,Substantial,Cessna,441,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,3.0,Unknown,Unknown,3.0,Cessna 441
66690,Accident,2009-07-04,"Manteo, NC",United States,Dare County Regional Airport,Non-Fatal,Substantial,Waco,UPF-7,No,1.0,Reciprocating,Other Work Use,0.0,3.0,0.0,0.0,VMC,Unknown,3.0,Waco UPF-7
66718,Accident,2009-07-08,"Gulf of Mexico,",United States,Unknown,Fatal,Destroyed,Cessna,421C,No,2.0,Reciprocating,Executive/corporate,5.0,0.0,0.0,0.0,IMC,Unknown,5.0,Cessna 421C
66786,Accident,2009-07-17,"Hayesville, NC",United States,Unknown,Fatal,Destroyed,Cessna,R182,No,1.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Cessna R182
66825,Accident,2009-07-23,"Bismarck, ND",United States,Bismarck Municipal Airport,Non-Fatal,Substantial,Raytheon Aircraft Company,C90A,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Raytheon Aircraft Company C90A
66968,Accident,2009-08-11,"Iliamna, AK",United States,Unknown,Non-Fatal,Substantial,Cessna,206,No,1.0,Reciprocating,Other Work Use,0.0,1.0,1.0,3.0,VMC,Unknown,5.0,Cessna 206
66991,Accident,2009-08-15,"Corning, IA",United States,Creston Muni,Fatal,Destroyed,Air Tractor Inc,AT-802A,No,1.0,Turbo Prop,Positioning,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Air Tractor Inc AT-802A
67020,Accident,2009-08-21,"Teterboro, NJ",United States,Teterboro Airport,Fatal,Substantial,Raytheon Aircraft Company,58,No,2.0,Reciprocating,Executive/corporate,1.0,0.0,1.0,0.0,VMC,Unknown,2.0,Raytheon Aircraft Company 58
67086,Accident,2009-08-30,"San Diego, CA",United States,Montgomery Field,Non-Fatal,Substantial,Curtiss Wright,TRAVEL AIR,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Curtiss Wright TRAVEL AIR
67096,Accident,2009-08-31,"Unknown, Mexico",Mexico,Unknown,Fatal,Destroyed,Cessna,414,No,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,Unknown,Unknown,1.0,Cessna 414
67100,Accident,2009-09-01,"Rio Blanco, CO",United States,Bishop's Cabin Airstrip,Non-Fatal,Substantial,Cessna,175,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 175
67102,Accident,2009-09-02,"Koliganek, AK",United States,Unknown,Non-Fatal,Substantial,Helio,H-295,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,Helio H-295
67116,Incident,2009-09-04,"Sugar Land, TX",United States,Sugar Land Regional Airport,Non-Fatal,Minor,Cessna,421,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 421
67200,Accident,2009-09-18,"Nabesna, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-18
67290,Accident,2009-10-05,"King Salmon, AK",United States,Unknown,Non-Fatal,Substantial,Dehavilland,DHC-2,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Dehavilland DHC-2
67312,Accident,2009-10-10,"Nondalton, AK",United States,Nondalton Airport,Non-Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-31-350
67358,Accident,2009-10-21,"Cedar City, UT",United States,Cedar City Regional,Non-Fatal,Substantial,Aero Commander,690,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Aero Commander 690
67455,Accident,2009-11-14,"Fort Myers, FL",United States,Page Field Airport,Non-Fatal,Substantial,Curtiss Wright,TRAVEL AIR,No,1.0,Reciprocating,Other Work Use,0.0,3.0,0.0,0.0,VMC,Unknown,3.0,Curtiss Wright TRAVEL AIR
67520,Accident,2009-12-04,"Harrison, MI",United States,Unknown,Fatal,Destroyed,Piper,PA-31T2,No,2.0,Turbo Prop,Executive/corporate,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Piper PA-31T2
67530,Accident,2009-12-07,"Egelsbach, Germany",Germany,Egelsback,Fatal,Destroyed,Beech,F90,No,2.0,Unknown,Business,3.0,0.0,0.0,0.0,IMC,Unknown,3.0,Beech F90
67535,Accident,2009-12-09,"Eagle Pass, TX",United States,Maverick County Memorial Intnl,Fatal,Destroyed,Beech,A36,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,Beech A36
67602,Accident,2010-01-05,"Prospect Heights, IL",United States,Unknown,Fatal,Substantial,Gates Learjet Corp.,35A,No,2.0,Turbo Fan,Positioning,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Gates Learjet Corp. 35A
67632,Accident,2010-01-15,"Kidlington, United Kingdom",United Kingdom,Unknown,Fatal,Destroyed,Piper,PA-31P,No,2.0,Reciprocating,Flight Test,2.0,0.0,0.0,0.0,Unknown,Unknown,2.0,Piper PA-31P
67634,Accident,2010-01-16,"Fredericksburg, TX",United States,Gillespie County Airport,Non-Fatal,Substantial,Cirrus,SR22,No,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,Cirrus SR22
